question_id,student_answer,score
8,الملك هو الروح الامين جبريل ,5
8,جبريل,5
8,جبريل عليه السلام,5
8,جبريل  عليه السلام,5
8,جبريل الأمين ,5
8,جبريل ,5
8,جبريل الروح الأمين ,5
8,جبريل عليه السلام ,5
8,الملك جبريل ,5
8,النبي الذي جاء بالوحي هو جبريل ,5
8,اسرافيل,0
8,الملك جبريل,5
8,جبرائيل,5
8,اسرافيل ,0
8,الروح الأمين ,5
8,جبريل الروح الأمين هو الملك الذي أنزل الوحي على رسول الله صلى الله عليه وسلم ,5
8,ميكائيل عليه السلام ,0
8,"قال تعالى ""نزل به الروح الأمين على قلبك لتكون من المنذرين بلسان عربي مبين . وإنه لفي زبر الأولين "" ",5
